name,dietId,instructions
Boiled Pickled Turkey with Spicy Sardines and Toasted Beef,2,Steam the pickled turkey. Marinate the spicy sardines. Steam the toasted beef. Fry the roasted chicken. Grill the grilled eggs.
Baked Spicy Salmon with Cooked Radishes and Steamed Cucumber,4,Grill the spicy salmon. Marinate the cooked radishes. Sauté the steamed cucumber.
Stir-Fried Baked Lentils with Crispy Pumpkin and Pickled Peppers,3,Fry the baked lentils. Fry the crispy pumpkin. Steam the pickled peppers. Bake the frozen walnuts.
Roasted Fresh Kale with Grilled Cabbage and Chopped Mushrooms,1,Chop the fresh kale. Steam the grilled cabbage. Fry the chopped mushrooms. Bake the spicy seaweed.
Baked Toasted Beef with Caramelized Avocado and Roasted Shrimp,2,Mix the toasted beef. Grill the caramelized avocado. Chop the roasted shrimp. Chop the mashed turkey. Grill the candied sardines.
Sautéed Blanched Seaweed with Pickled Chickpeas and Minced Zucchini,5,Sauté the blanched seaweed. Grill the pickled chickpeas. Steam the minced zucchini. Bake the crispy kidney beans.
Baked Baked Turkey with Toasted Sardines and Toasted Cucumber,4,Boil the baked turkey. Sauté the toasted sardines. Bake the toasted cucumber. Marinate the crispy salmon.
Boiled Toasted Peppers with Boiled Coconut and Stuffed Cauliflower,1,Grill the toasted peppers. Steam the boiled coconut. Boil the stuffed cauliflower.
Marinated Toasted Green Beans with Cured Zucchini and Stuffed Yogurt,4,Grill the toasted green beans. Bake the cured zucchini. Grill the stuffed yogurt. Fry the pickled cabbage. Chop the minced green beans.
Baked Grilled Barley with Sautéed Yogurt and Shredded Chickpeas,3,Steam the grilled barley. Mix the sautéed yogurt. Marinate the shredded chickpeas.
Stir-Fried Cured Zucchini with Chopped Yogurt and Baked Celery,4,Chop the cured zucchini. Fry the chopped yogurt. Marinate the baked celery. Grill the baked avocado. Mix the crispy yogurt. Mix the caramelized walnuts.
Steamed Chopped Peppers with Candied Barley and Stuffed Chickpeas,3,Mix the chopped peppers. Chop the candied barley. Steam the stuffed chickpeas. Bake the crispy peas.
Pan-Seared Shredded Cauliflower with Baked Turkey and Cooked Celery,4,Marinate the shredded cauliflower. Marinate the baked turkey. Bake the cooked celery. Sauté the grilled shrimp.
Stir-Fried Cooked Zucchini with Marinated Quinoa and Cured Kale,5,Mix the cooked zucchini. Chop the marinated quinoa. Sauté the cured kale.
Grilled Sautéed Celery with Candied Mushrooms and Seared Kale,5,Marinate the sautéed celery. Marinate the candied mushrooms. Grill the seared kale. Chop the raw quinoa. Marinate the cured cauliflower. Boil the minced zucchini.
Boiled Seared Coconut with Baked Eggs and Baked Coconut,2,Mix the seared coconut. Marinate the baked eggs. Sauté the baked coconut. Boil the caramelized eggs.
Roasted Sautéed Avocado with Frozen Seaweed and Raw Peas,1,Grill the sautéed avocado. Marinate the frozen seaweed. Grill the raw peas. Chop the marinated corn. Grill the boiled peas. Fry the toasted peas.
Stir-Fried Cooked Walnuts with Toasted Kale and Butter-Roasted Pumpkin,3,Marinate the cooked walnuts. Steam the toasted kale. Steam the butter-roasted pumpkin. Bake the steamed almonds. Sauté the roasted radishes.
Boiled Steamed Shrimp with Shredded Cauliflower and Caramelized Cauliflower,4,Mix the steamed shrimp. Fry the shredded cauliflower. Grill the caramelized cauliflower. Bake the baked turkey. Chop the stuffed sardines. Mix the cooked cucumber.
Marinated Grilled Tomatoes with Fresh Cucumber and Spicy Kale,1,Boil the grilled tomatoes. Fry the fresh cucumber. Steam the spicy kale. Bake the dried ginger. Boil the baked cabbage.
Pan-Seared Candied Barley with Roasted Milk and Crispy Onions,3,Steam the candied barley. Bake the roasted milk. Steam the crispy onions. Bake the chopped eggs. Grill the blanched edamame.
Sautéed Boiled Salmon with Mashed Celery and Butter-Roasted Almonds,4,Sauté the boiled salmon. Steam the mashed celery. Boil the butter-roasted almonds. Bake the minced shrimp.
Grilled Shredded Tempeh with Marinated Cashews and Herbed Kidney Beans,1,Fry the shredded tempeh. Chop the marinated cashews. Marinate the herbed kidney beans. Steam the mashed seaweed. Steam the minced tempeh. Sauté the fresh pumpkin.
Stir-Fried Herbed Almonds with Toasted Sardines and Baked Turkey,4,Sauté the herbed almonds. Steam the toasted sardines. Chop the baked turkey. Chop the herbed celery.
Baked Grilled Radishes with Seared Spinach and Caramelized Cauliflower,4,Boil the grilled radishes. Fry the seared spinach. Grill the caramelized cauliflower.
Sautéed Herbed Seaweed with Frozen Cabbage and Minced Mushrooms,5,Boil the herbed seaweed. Mix the frozen cabbage. Fry the minced mushrooms. Marinate the raw quinoa. Marinate the roasted carrots. Sauté the grilled beets.
Pan-Seared Blanched Beef with Boiled Turkey and Seared Chicken,2,Fry the blanched beef. Steam the boiled turkey. Steam the seared chicken.
Pan-Seared Chopped Peas with Steamed Corn and Shredded Edamame,5,Sauté the chopped peas. Sauté the steamed corn. Marinate the shredded edamame. Marinate the grilled beets. Bake the boiled corn.
Baked Herbed Broccoli with Marinated Spinach and Frozen Yogurt,3,Chop the herbed broccoli. Grill the marinated spinach. Sauté the frozen yogurt.
Baked Chopped Almonds with Shredded Cauliflower and Sautéed Green Beans,4,Grill the chopped almonds. Boil the shredded cauliflower. Fry the sautéed green beans. Chop the butter-roasted zucchini.
